2026-04-09 19:30:50 | INFO     | appLogger | set_logger  : 18  | --------------------------------------------------------------------------------
2026-04-09 19:30:50 | INFO     | appLogger | set_logger  : 19  | 开始时间: 2026-04-09 19:30:50
2026-04-09 19:30:50 | INFO     | appLogger | set_logger  : 20  | --------------------------------------------------------------------------------
2026-04-09 19:32:37 | INFO     | appLogger | asr_worker  : 18  | [ASR] 获取问题所需时间：56
2026-04-09 19:32:37 | INFO     | appLogger | asr_worker  : 23  | [ASR] 用户问题：给我介绍一下皮影戏 (sid=1)
2026-04-09 19:32:37 | INFO     | appLogger | llm_worker  : 16  | [LLM] 开始生成 sid=1
2026-04-09 19:32:46 | INFO     | appLogger | llm_service : 63  | sentence: 皮影戏是河南省非物质文化遗产，属于传统戏剧类别，国家级别，编号Ⅳ-91，批次为2011年5月（第三批扩展），位于桐柏县人民文化馆。
2026-04-09 19:32:46 | INFO     | appLogger | dispatcher  : 67  | [UI] -> Unity: 皮影戏是河南省非物质文化遗产，属于传统戏剧类别，国家级别，编号Ⅳ-91，批次为2011年5月（第三批扩展），位于桐柏县人民文化馆。 (sid=1)
2026-04-09 19:32:46 | INFO     | appLogger | tts_worker  : 89  | [TTS] 切分为 3 个短句: ['皮影戏是河南省非物质文化遗产，属于传统戏剧类别，国家级别，', '', '批次为2011年5月（第三批扩展），位于桐柏县人民文化馆。']
2026-04-09 19:32:47 | INFO     | appLogger | llm_service : 63  | sentence: 其以皮影为载体，通过灯光投影展现故事，历史悠久，技艺精湛，是黄河文化的重要组成部分。
2026-04-09 19:32:47 | INFO     | appLogger | dispatcher  : 67  | [UI] -> Unity: 其以皮影为载体，通过灯光投影展现故事，历史悠久，技艺精湛，是黄河文化的重要组成部分。 (sid=1)
2026-04-09 19:32:47 | INFO     | appLogger | llm_worker  : 43  | [LLM] 生成时间为：9.301536
2026-04-09 19:33:14 | INFO     | appLogger | tts_worker  : 89  | [TTS] 切分为 1 个短句: ['其以皮影为载体，通过灯光投影展现故事，历史悠久，技艺精湛，是黄河文化的重要组成部分。']
2026-04-09 19:34:34 | INFO     | appLogger | asr_worker  : 18  | [ASR] 获取问题所需时间：117
2026-04-09 19:34:34 | INFO     | appLogger | asr_worker  : 23  | [ASR] 用户问题：风鸣下它起源于哪里 (sid=2)
2026-04-09 19:34:34 | INFO     | appLogger | llm_worker  : 16  | [LLM] 开始生成 sid=2
2026-04-09 19:34:41 | INFO     | appLogger | llm_service : 63  | sentence: 皮影戏起源于汉代，是黄河文明的活化石。
2026-04-09 19:34:41 | INFO     | appLogger | dispatcher  : 67  | [UI] -> Unity: 皮影戏起源于汉代，是黄河文明的活化石。 (sid=2)
2026-04-09 19:34:41 | INFO     | appLogger | tts_worker  : 89  | [TTS] 切分为 1 个短句: ['皮影戏起源于汉代，是黄河文明的活化石。']
2026-04-09 19:34:42 | INFO     | appLogger | llm_service : 63  | sentence: 桐柏皮影戏以细腻雕刻和灵动表演闻名，被誉为“东方光影艺术瑰宝”。
2026-04-09 19:34:42 | INFO     | appLogger | dispatcher  : 67  | [UI] -> Unity: 桐柏皮影戏以细腻雕刻和灵动表演闻名，被誉为“东方光影艺术瑰宝”。 (sid=2)
2026-04-09 19:34:42 | INFO     | appLogger | llm_service : 63  | sentence: 艺人用一生打磨刀具，将千年的故事凝固在三寸光阴里。
2026-04-09 19:34:42 | INFO     | appLogger | dispatcher  : 67  | [UI] -> Unity: 艺人用一生打磨刀具，将千年的故事凝固在三寸光阴里。 (sid=2)
2026-04-09 19:34:43 | INFO     | appLogger | llm_service : 63  | sentence: 当幕布升起，光影流转间，黄河水的咆哮、烽烟与百姓的欢笑重现，这便是皮影戏——用最朴素的光影，讲述黄河儿女最深情的传说。
2026-04-09 19:34:43 | INFO     | appLogger | dispatcher  : 67  | [UI] -> Unity: 当幕布升起，光影流转间，黄河水的咆哮、烽烟与百姓的欢笑重现，这便是皮影戏——用最朴素的光影，讲述黄河儿女最深情的传说。 (sid=2)
2026-04-09 19:34:43 | INFO     | appLogger | llm_worker  : 43  | [LLM] 生成时间为：8.804977
2026-04-09 19:34:55 | INFO     | appLogger | tts_worker  : 89  | [TTS] 切分为 1 个短句: ['桐柏皮影戏以细腻雕刻和灵动表演闻名，被誉为“东方光影艺术瑰宝”。']
2026-04-09 19:35:14 | INFO     | appLogger | tts_worker  : 89  | [TTS] 切分为 1 个短句: ['艺人用一生打磨刀具，将千年的故事凝固在三寸光阴里。']
2026-04-09 19:35:30 | INFO     | appLogger | tts_worker  : 89  | [TTS] 切分为 3 个短句: ['当幕布升起，光影流转间，黄河水的咆哮、烽烟与百姓的欢笑重现，', '影，', '讲述黄河儿女最深情的传说。']
